date,group,team_a,team_b,score,outcome,ens_win_a,ens_draw,ens_win_b,kalshi_win_a,kalshi_draw,kalshi_win_b,kalshi_available,rps_model,rps_kalshi,rps_diff
2026-06-11,A,Mexico,South Africa,2-0,2,0.6904632706440131,0.2444685218517772,0.0650682075042096,,,,False,0.05002342922410617,,
2026-06-12,A,South Korea,Czechia,2-1,2,0.5769690773447222,0.2411422599168548,0.1818886627384228,,,,False,0.10601932357767369,,
2026-06-12,B,Canada,Bosnia and Herzegovina,1-1,1,0.6462111783975913,0.2105436332936091,0.1432451883087996,,,,False,0.21905403552981353,,
2026-06-13,B,Switzerland,Qatar,1-1,1,0.7878815783238826,0.1204901209339536,0.0916283007421636,,,,False,0.31457656347951435,,
2026-06-13,C,Brazil,Morocco,1-1,1,0.3229910260132642,0.3789137607072814,0.2980952132794545,,,,False,0.09659197953261225,,
2026-06-13,D,USA,Paraguay,4-1,2,0.5395189083723266,0.2290720260216613,0.2314090656060118,,,,False,0.13279649569563065,,
2026-06-14,C,Haiti,Scotland,0-1,0,0.166227328410619,0.2376895125408566,0.5960831590485244,,,,False,0.09539016955737573,,
2026-06-14,D,Australia,Turkey,2-0,2,0.5021172288597111,0.2947863843537127,0.2030963867865761,,,,False,0.14456769806204794,,
2026-06-14,E,Germany,Curacao,7-1,2,0.8533525291812297,0.0828022481528233,0.0638452226659469,,,,False,0.012790846577403214,,
2026-06-14,E,Ivory Coast,Ecuador,1-0,2,0.2400769294417535,0.5592790893846309,0.2006439811736157,,,,False,0.30887054017393595,,
2026-06-14,F,Netherlands,Japan,2-2,1,0.2659176539215097,0.2782817183691803,0.4558006277093099,,,,False,0.13923320544366044,,
2026-06-15,H,Saudi Arabia,Uruguay,1-1,1,0.19148385068936,0.3323637542917653,0.4761523950188747,,,,False,0.13169358417851784,,
2026-06-15,H,Spain,Cabo Verde,0-0,1,0.6151734565238683,0.2866152526534632,0.0982112908226684,,,,False,0.19404191962828923,,
2026-06-15,F,Sweden,Tunisia,5-1,2,0.6395617412102299,0.1964372409484615,0.1640010178413084,,,,False,0.07840603612619325,,
2026-06-15,G,Belgium,Egypt,1-1,1,0.2927366471764112,0.3636983111511299,0.343565041672459,,,,False,0.10186584122974254,,
2026-06-16,I,Norway,Iraq,4-1,2,0.7168088641404972,0.1584415742123507,0.1247495616471521,,,,False,0.047879836280276,,
2026-06-16,G,Iran,New Zealand,2-2,1,0.3617213770804008,0.2492280384469058,0.3890505844726934,,,,False,0.14110135595774292,,
2026-06-16,I,France,Senegal,3-1,2,0.5757717247406142,0.2248790559392491,0.1993492193201366,,,,False,0.10985487038655059,,
2026-06-17,J,Argentina,Algeria,3-0,2,0.7743505036066153,0.145461938536091,0.0801875578572937,,,,False,0.028673869828852484,,
2026-06-17,J,Austria,Jordan,3-1,2,0.515242579291925,0.2665412284618235,0.2182161922462515,,,,False,0.14130403174499934,,
2026-06-17,K,Portugal,Congo DR,1-1,1,0.4247487790752313,0.2780500492009898,0.2972011717237789,,,,False,0.13437003089994337,,
2026-06-17,L,Ghana,Panama,1-0,2,0.3742066231423307,0.3887401494497443,0.2370532274079249,,,,False,0.22390579157171916,,
2026-06-17,L,England,Croatia,4-2,2,0.5952423629994852,0.2197814712209072,0.1849761657796075,,,,False,0.09902246330838271,,
2026-06-18,B,Bosnia and Herzegovina,Switzerland,1-4,0,0.138139377818974,0.2146105159952931,0.6472501061857329,,,,False,0.07175748764509499,,
2026-06-18,A,South Africa,Czechia,1-1,1,0.3385394114821523,0.3070848992596274,0.3543756892582202,,,,False,0.12009553113196039,,
2026-06-18,K,Uzbekistan,Colombia,1-3,0,0.1523968578321723,0.2017015069960729,0.6459016351717547,,,,False,0.07430522712557819,,
2026-06-18,B,Canada,Qatar,6-0,2,0.7833814163756687,0.1185968893854223,0.0980216942389089,,,,False,0.02826593165643878,,
2026-06-19,A,Mexico,South Korea,1-0,2,0.5021846821557144,0.3648646251926427,0.1329506926516428,,,,False,0.1327479886784793,,
2026-06-19,C,Morocco,Scotland,1-0,2,0.4185427941199081,0.3465629444436051,0.2348942614364867,,,,False,0.19663389816283813,,
2026-06-19,D,USA,Australia,2-0,2,0.3357672195950837,0.2801864860320296,0.3840462943728865,,,,False,0.2943483713929958,,
2026-06-20,C,Brazil,Haiti,3-0,2,0.7307307027513874,0.1711667228093186,0.098102574439294,,,,False,0.04106503477618946,,
2026-06-20,D,Paraguay,Turkey,1-0,2,0.3619782711856772,0.3106530143146152,0.3273687144997075,,,,False,0.2571210008362042,,
